email,password,first_name,last_name,phone,address,city,zip_code,country,date_joined,pet_name,pet_type,pet_gender,pet_breed,pet_neutered,pet_age_years,pet_age_months,pet_weight,pet_body_type,pet_activity_level,pet_food_types,pet_food_feeling,pet_food_importance
berk.dogan@icloud.com,BeDog82#2025,Berk,Doğan,+90 533 956 90 93,Cumhuriyet Cd 178,Gaziantep,27138,Turkey,2025-10-11T11:23:28,,,,,,,,,,,,,
wildeagle486@msn.com,SeKay40@2025,Seda,Kaya,+90 530 260 59 28,İstiklal Cd 147,Mersin,33564,Turkey,2025-10-11T11:53:46,Kiki,Dog,Male,Beagle,False,5.0,0.0,12.4,Overweight,Active,Dry food,Always hungry,Important
zeynep.aksoy@gmail.com,ZeAks59!2025,Zeynep,Aksoy,+90 537 674 90 66,İstiklal Cd 117,Istanbul,34848,Turkey,2025-10-11T12:01:15,,,,,,,,,,,,,
bear3162@gmail.com,HaErd32!2024,Hakan,Erdoğan,+90 533 463 07 46,Halaskargazi Cd 159,Istanbul,34329,Turkey,2025-10-11T12:03:32,,,,,,,,,,,,,
hilal.sahin@outlook.com,HiSah98!2024,Hilal,Şahin,+90 530 914 28 32,Cumhuriyet Cd 234,Antalya,07600,Turkey,2025-10-11T12:03:36,,,,,,,,,,,,,
silent.panda_3311@yahoo.com,CeSah74#2025,Cem,Şahin,+90 537 811 29 72,İnönü Cd 5,Istanbul,34430,Turkey,2025-10-11T12:28:59,,,,,,,,,,,,,
urban.wolf_1587@icloud.com,MiNie16$2024,Miika,Nieminen,+358 044 9383152,Esplanadi 197,Oulu,90490,Finland,2025-10-11T13:43:59,,,,,,,,,,,,,
burak.aksoy@gmail.com,BuAks61#2025,Burak,Aksoy,+90 539 437 17 81,Halaskargazi Cd 136,Istanbul,34282,Turkey,2025-10-11T13:48:33,,,,,,,,,,,,,
fox348@gmail.com,YuAyd83#2025,Yusuf,Aydın,+90 537 963 19 25,Bağdat Cd 93,Istanbul,34643,Turkey,2025-10-11T14:53:02,,,,,,,,,,,,,
gizem.arslan@gmail.com,GiArs46@2025,Gizem,Arslan,+90 537 554 10 20,Turan Güneş Blv 136,Kayseri,38363,Turkey,2025-10-11T14:53:50,,,,,,,,,,,,,
ece.kilic476@gmail.com,EcKil68#2024,Ece,Kılıç,+90 535 832 79 68,Turan Güneş Blv 69,Istanbul,34870,Turkey,2025-10-11T15:21:17,Bella,Cat,Male,British Shorthair,True,10.0,0.0,6.8,Muscular,Less Active,"Dry food, Raw food",Happy and energetic,Important
burak.sahin504@gmail.com,BuSah34@2025,Burak,Şahin,+90 539 178 13 40,Halaskargazi Cd 221,Istanbul,34960,Turkey,2025-10-11T17:08:59,,,,,,,,,,,,,
jan.jansen610@gmail.com,JaJan38#2025,Jan,Jansen,+31 6 2933 4462,Spui 126,Rotterdam,3060 05,Netherlands,2025-10-11T17:46:09,,,,,,,,,,,,,
smartlynx750@gmail.com,AyKoc55@2024,Ayşe,Koç,+90 501 224 05 60,Nispetiye Cd 126,Istanbul,34355,Turkey,2025-10-11T18:01:52,Marley,Dog,Male,Rottweiler,True,1.0,4.0,48.2,Muscular,Very Active,"Dry food, Wet food",Calm and balanced,Very important
lynx9210@gmail.com,ElKos96!2025,Elina,Koskinen,+358 050 9364097,Kalevankatu 216,Helsinki,00601,Finland,2025-10-11T18:03:00,,,,,,,,,,,,,
sunny.cat_5450@yahoo.com,MoMoh11#2025,Mohammad,Mohammadi,+98 0935 7628877,Enghelab St 116,Tehran,6206119137,Iran,2025-10-11T18:24:25,,,,,,,,,,,,,
lisa.meijer@gmail.com,LiMei23$2025,Lisa,Meijer,+31 6 7510 6757,Damrak 186,Amsterdam,1074 88,Netherlands,2025-10-11T18:33:05,,,,,,,,,,,,,
ece.polat@outlook.com,EcPol10#2024,Ece,Polat,+90 534 309 74 38,Bağdat Cd 210,Istanbul,34109,Turkey,2025-10-11T19:24:08,,,,,,,,,,,,,
mehmet.kaya@gmail.com,MeKay42$2025,Mehmet,Kaya,+90 535 933 82 58,Turan Güneş Blv 10,Adana,01293,Turkey,2025-10-11T19:44:04,,,,,,,,,,,,,
ece.ozturk@gmail.com,EcOzt82#2024,Ece,Öztürk,+90 535 934 99 53,Turan Güneş Blv 249,Istanbul,34357,Turkey,2025-10-11T19:45:14,,,,,,,,,,,,,
mahsa.hosseini625@mervis.net,MaHos77$2024,Mahsa,Hosseini,+98 0990 4264606,Enghelab St 42,Tabriz,0787529098,Iran,2025-10-11T20:03:56,,,,,,,,,,,,,
seda.kilic@gmail.com,SeKil20@2024,Seda,Kılıç,+90 531 869 73 64,İnönü Cd 7,Istanbul,34276,Turkey,2025-10-11T20:11:51,,,,,,,,,,,,,
wildfox327@gmail.com,EmCel99$2024,Emre,Çelik,+90 535 420 38 38,İnönü Cd 207,Adana,01123,Turkey,2025-10-11T20:18:53,,,,,,,,,,,,,
yusuf.kilic963@gmail.com,YuKil67!2025,Yusuf,Kılıç,+90 532 167 71 84,Turan Güneş Blv 64,Istanbul,34592,Turkey,2025-10-11T20:37:10,,,,,,,,,,,,,
otter1220@outlook.com,CeYal54$2025,Cem,Yalçın,+90 536 380 88 58,İnönü Cd 107,Istanbul,34249,Turkey,2025-10-11T21:38:49,Cooper,Cat,Male,Ragdoll,True,12.0,8.0,8.3,Underweight,Very Active,"Wet food, Raw food",Happy and energetic,Important
owl1987@msn.com,LeKow72#2025,Lea,Kowalski,+33 6 74 69 50 86,Gran Via 183,Lyon,69001,France,2025-10-11T21:53:35,,,,,,,,,,,,,
koala1650@outlook.com,EeVir99!2024,Eero,Virtanen,+358 044 7415991,Esplanadi 2,Oulu,90830,Finland,2025-10-11T22:37:56,,,,,,,,,,,,,
yusuf.erdogan@gmail.com,YuErd26#2025,Yusuf,Erdoğan,+90 533 119 35 45,Cumhuriyet Cd 100,Antalya,07036,Turkey,2025-10-11T22:39:24,,,,,,,,,,,,,
sparrow4227@gmail.com,ElYal19!2024,Elif,Yalçın,+90 501 992 50 67,Bağdat Cd 145,Istanbul,34215,Turkey,2025-10-11T22:51:23,,,,,,,,,,,,,
berk.polat@gmail.com,BePol36$2024,Berk,Polat,+90 531 908 17 28,Cumhuriyet Cd 93,Istanbul,34329,Turkey,2025-10-11T23:18:45,,,,,,,,,,,,,
deniz.yildiz132@msn.com,DeYil70#2024,Deniz,Yıldız,+90 533 109 95 40,İstiklal Cd 140,Istanbul,34204,Turkey,2025-10-12T00:14:06,,,,,,,,,,,,,
silentbear481@icloud.com,SeKay17#2024,Selin,Kaya,+90 537 733 73 33,Turan Güneş Blv 63,Istanbul,34007,Turkey,2025-10-12T00:25:54,,,,,,,,,,,,,
tom.bos@icloud.com,ToBos72!2024,Tom,Bos,+31 6 8998 4410,Lijnbaan 205,Rotterdam,3041 54,Netherlands,2025-10-12T00:36:45,,,,,,,,,,,,,
onur.dogan823@outlook.com,OnDog86#2025,Onur,Doğan,+90 539 755 17 10,İnönü Cd 208,Istanbul,34043,Turkey,2025-10-12T00:44:59,,,,,,,,,,,,,
lion9331@outlook.com,Brde 62@2025,Bram,de Vries,+31 6 4155 0035,Lijnbaan 127,Rotterdam,3057 10,Netherlands,2025-10-12T00:52:34,Hazel,Cat,Female,Persian,True,1.0,3.0,4.5,Underweight,Very Active,Dry food,Happy and energetic,Very important
ali.polat@yahoo.com,AlPol80@2025,Ali,Polat,+90 534 709 88 36,Atatürk Blv 140,Istanbul,34412,Turkey,2025-10-12T01:00:03,,,,,,,,,,,,,
cansu.arslan287@gmail.com,CaArs66$2025,Cansu,Arslan,+90 530 992 67 94,Halaskargazi Cd 206,Izmir,35364,Turkey,2025-10-12T02:12:38,,,,,,,,,,,,,
lynx5023@yahoo.com,DeYil66$2025,Deniz,Yılmaz,+90 505 233 22 43,İnönü Cd 52,Istanbul,34604,Turkey,2025-10-12T02:15:12,Nala,Cat,Female,Bengal,True,15.0,11.0,4.2,Overweight,Moderately Active,"Wet food, Raw food",Easily distracted,Very important
falcon2816@gmail.com,Node 37#2025,Noah,de Vries,+31 6 3972 3975,Coolsingel 171,Haarlem,2069 14,Netherlands,2025-10-12T02:39:35,,,,,,,,,,,,,
eva.bos845@gmail.com,EvBos28$2025,Eva,Bos,+31 6 8578 9903,Kalverstraat 109,Utrecht,3537 93,Netherlands,2025-10-12T03:19:20,,,,,,,,,,,,,
hilal.koc554@hexapi.io,HiKoc25#2024,Hilal,Koç,+90 505 546 16 62,İnönü Cd 22,Istanbul,34266,Turkey,2025-10-12T03:28:31,,,,,,,,,,,,,
can.kaya154@outlook.com,CaKay92#2024,Can,Kaya,+90 538 569 52 34,İstiklal Cd 45,Istanbul,34879,Turkey,2025-10-12T04:40:49,,,,,,,,,,,,,
ayse.erdogan@yahoo.com,AyErd22#2024,Ayşe,Erdoğan,+90 501 409 46 97,Halaskargazi Cd 72,Antalya,07285,Turkey,2025-10-12T06:35:54,,,,,,,,,,,,,
burak.aydin@gmail.com,BuAyd83!2024,Burak,Aydın,+90 501 960 23 98,Cumhuriyet Cd 233,Istanbul,34218,Turkey,2025-10-12T07:14:58,,,,,,,,,,,,,
deniz.yildiz@gmail.com,DeYil44!2024,Deniz,Yıldız,+90 535 121 11 68,Bağdat Cd 99,Istanbul,34428,Turkey,2025-10-12T08:00:13,,,,,,,,,,,,,
mert.celik15@gmail.com,MeCel32#2025,Mert,Çelik,+90 534 255 78 39,İnönü Cd 108,Kayseri,38794,Turkey,2025-10-12T08:57:10,,,,,,,,,,,,,
gizem.arslan93@gmail.com,GiArs44#2025,Gizem,Arslan,+90 530 788 48 67,Turan Güneş Blv 119,Istanbul,34444,Turkey,2025-10-12T09:09:00,Bella,Dog,Female,German Shepherd,True,3.0,1.0,33.7,Muscular,Very Active,"Dry food, Wet food",Content and satisfied,Very important
berk.celik@icloud.com,BeCel13$2024,Berk,Çelik,+90 539 597 99 03,Nispetiye Cd 115,Istanbul,34628,Turkey,2025-10-12T09:56:19,,,,,,,,,,,,,
eagle2505@outlook.com,SaJar27@2024,Sanna,Järvinen,+358 044 1220906,Mannerheimintie 170,Turku,20083,Finland,2025-10-12T09:57:53,,,,,,,,,,,,,
lucky.otter_9582@yahoo.com,MeDem76#2024,Mert,Demir,+90 533 200 54 79,İstiklal Cd 215,Istanbul,34072,Turkey,2025-10-12T10:02:39,,,,,,,,,,,,,
selin.kaya51@outlook.com,SeKay92$2024,Selin,Kaya,+90 536 236 04 36,Cumhuriyet Cd 60,Istanbul,34301,Turkey,2025-10-12T10:06:45,Pumpkin,Cat,Female,British Shorthair,False,11.0,8.0,6.8,Muscular,Active,Dry food,Always hungry,Very important
can.polat@gmail.com,CaPol92#2024,Can,Polat,+90 537 250 85 61,Turan Güneş Blv 120,Istanbul,34723,Turkey,2025-10-12T11:02:21,Charlie,Dog,Female,Cocker Spaniel,True,7.0,4.0,14.1,Overweight,Very Active,"Dry food, Raw food",Calm and balanced,Important
bright.fox_8043@yahoo.com,EeMak94#2025,Eero,Mäkinen,+358 041 1574554,Esplanadi 51,Lahti,15200,Finland,2025-10-12T11:22:01,,,,,,,,,,,,,
mert.yildiz705@outlook.com,MeYil48$2024,Mert,Yıldız,+90 538 232 08 41,Halaskargazi Cd 29,Istanbul,34915,Turkey,2025-10-12T11:31:01,,,,,,,,,,,,,
marie.fernandez384@yahoo.com,MaFer49$2025,Marie,Fernández,+49 152 5498751,Gran Via 184,Hamburg,20095,Germany,2025-10-12T11:57:31,,,,,,,,,,,,,
lucky.cat_311@auroradata.fr,AyKay49@2025,Ayşe,Kaya,+90 534 471 08 64,Atatürk Blv 24,Istanbul,34318,Turkey,2025-10-12T12:21:07,Buddy,Dog,Female,Beagle,True,2.0,10.0,12.4,Muscular,Very Active,Dry food,Easily distracted,Important
antti.hamalainen@gmail.com,AnHam17@2024,Antti,Hämäläinen,+358 041 9636850,Esplanadi 249,Helsinki,00781,Finland,2025-10-12T15:33:23,,,,,,,,,,,,,
lotte.visser802@gmail.com,LoVis30@2024,Lotte,Visser,+31 6 6974 4507,Kalverstraat 156,Rotterdam,3065 01,Netherlands,2025-10-12T15:49:29,Marley,Dog,Female,German Shepherd,True,9.0,5.0,24.0,Underweight,Active,"Wet food, Raw food",Content and satisfied,Important
hilal.polat714@gmail.com,HiPol93@2024,Hilal,Polat,+90 501 419 93 69,İnönü Cd 73,Istanbul,34994,Turkey,2025-10-12T16:43:41,,,,,,,,,,,,,
olli.jarvinen608@gmail.com,OlJar67#2025,Olli,Järvinen,+358 050 1862996,Itäkatu 95,Helsinki,00719,Finland,2025-10-12T17:47:27,,,,,,,,,,,,,
seda.yilmaz@gmail.com,SeYil29@2024,Seda,Yılmaz,+90 531 120 83 40,Atatürk Blv 62,Antalya,07989,Turkey,2025-10-12T18:04:27,,,,,,,,,,,,,
rapidlion945@msn.com,Nivan97#2024,Nina,van Loon,+31 6 4410 8179,Kalverstraat 151,Eindhoven,5655 40,Netherlands,2025-10-12T18:31:21,Cooper,Cat,Male,Persian,False,1.0,1.0,3.5,Muscular,Very Active,"Dry food, Wet food",Content and satisfied,Important
sunnyeagle987@yahoo.com,HaKay38@2025,Hakan,Kaya,+90 533 549 61 27,İnönü Cd 7,Istanbul,34880,Turkey,2025-10-12T18:34:48,,,,,,,,,,,,,
santeri.nieminen@gmail.com,SaNie46#2024,Santeri,Nieminen,+358 044 3563832,Itäkatu 97,Helsinki,00315,Finland,2025-10-12T18:37:17,,,,,,,,,,,,,
bram.bos81@icloud.com,BrBos38#2024,Bram,Bos,+31 6 5570 7548,Damrak 33,Rotterdam,3004 93,Netherlands,2025-10-12T19:01:57,,,,,,,,,,,,,
jonas.schneider@gmail.com,JoSch97!2024,Jonas,Schneider,+49 160 3497440,Unter den Linden 101,Berlin,10115,Germany,2025-10-12T19:11:21,,,,,,,,,,,,,
emre.sahin772@gmail.com,EmSah11!2025,Emre,Şahin,+90 534 757 69 59,Turan Güneş Blv 70,Ankara,06714,Turkey,2025-10-12T19:11:55,Daisy,Cat,Female,Sphynx,True,1.0,3.0,4.3,Overweight,Less Active,"Dry food, Wet food",Happy and energetic,Important
cansu.dogan211@petlab.fr,CaDog52!2024,Cansu,Doğan,+90 533 643 37 04,Nispetiye Cd 116,Istanbul,34943,Turkey,2025-10-12T19:31:50,,,,,,,,,,,,,
cansu.polat@gmail.com,CaPol26!2024,Cansu,Polat,+90 535 738 17 33,Turan Güneş Blv 167,Gaziantep,27952,Turkey,2025-10-12T19:46:03,,,,,,,,,,,,,
elina.laine@gmail.com,ElLai95!2024,Elina,Laine,+358 040 6745932,Itäkatu 114,Vantaa,01069,Finland,2025-10-12T20:00:57,Bailey,Cat,Female,Siamese,False,13.0,4.0,4.7,Muscular,Active,"Wet food, Raw food",Calm and balanced,Important
deniz.koc@novatek.ai,DeKoc72#2024,Deniz,Koç,+90 539 673 96 48,Halaskargazi Cd 4,Istanbul,34099,Turkey,2025-10-12T20:06:11,,,,,,,,,,,,,
cem.koc756@outlook.com,CeKoc99!2025,Cem,Koç,+90 501 755 65 73,Nispetiye Cd 243,Istanbul,34379,Turkey,2025-10-12T20:46:30,,,,,,,,,,,,,
smartdog131@gmail.com,Rovan88#2024,Rob,van der Meer,+31 6 2707 2813,Vismarkt 75,Utrecht,3567 92,Netherlands,2025-10-12T21:04:41,,,,,,,,,,,,,
jari.hamalainen@safronix.io,JaHam71#2025,Jari,Hämäläinen,+358 044 2563368,Mannerheimintie 68,Turku,20654,Finland,2025-10-12T21:44:38,,,,,,,,,,,,,
emre.yalcin@mail.com,EmYal12!2024,Emre,Yalçın,+90 539 162 94 01,Cumhuriyet Cd 100,Bursa,16956,Turkey,2025-10-12T22:00:31,,,,,,,,,,,,,
heidi.makinen491@gmail.com,HeMak90$2024,Heidi,Mäkinen,+358 044 9384982,Itäkatu 238,Tampere,33785,Finland,2025-10-12T22:17:31,Luna,Dog,Male,Border Collie,True,2.0,0.0,16.4,Muscular,Very Active,"Dry food, Wet food",Happy and energetic,Very important
pouya.hosseini937@outlook.com,PoHos11#2024,Pouya,Hosseini,+98 0935 5171016,Valiasr St 187,Tehran,8163419845,Iran,2025-10-12T22:24:35,,,,,,,,,,,,,
laura.koskinen@gmail.com,LaKos87@2024,Laura,Koskinen,+358 040 7092170,Aleksanterinkatu 8,Lahti,15045,Finland,2025-10-12T22:56:32,,,,,,,,,,,,,
owl1340@gmail.com,ZeKoc53@2025,Zeynep,Koç,+90 531 722 43 42,Halaskargazi Cd 192,Antalya,07188,Turkey,2025-10-12T23:01:25,,,,,,,,,,,,,
eagle8601@mervis.net,BePol80#2025,Berk,Polat,+90 538 821 63 75,Turan Güneş Blv 161,Istanbul,34750,Turkey,2025-10-12T23:48:18,,,,,,,,,,,,,
koala2644@gmail.com,VeVir75@2024,Veera,Virtanen,+358 050 7923127,Hämeenkatu 59,Tampere,33957,Finland,2025-10-13T01:58:50,,,,,,,,,,,,,
milan.vanvliet@gmail.com,Mivan54$2025,Milan,van Vliet,+31 6 2791 1816,Spui 105,Rotterdam,3028 11,Netherlands,2025-10-13T02:33:13,,,,,,,,,,,,,
gizem.erdogan608@gmail.com,GiErd79$2025,Gizem,Erdoğan,+90 539 506 00 51,Nispetiye Cd 193,Istanbul,34903,Turkey,2025-10-13T03:31:14,Mocha,Cat,Male,Ragdoll,True,2.0,3.0,6.0,Muscular,Active,Dry food,Content and satisfied,Very important
smartsparrow68@gmail.com,SoSmi57$2024,Sophie,Smit,+31 6 4903 3723,Kalverstraat 246,Amsterdam,1022 31,Netherlands,2025-10-13T03:49:52,,,,,,,,,,,,,
santeri.laine@gmail.com,SaLai49@2025,Santeri,Laine,+358 041 8912584,Aleksanterinkatu 109,Helsinki,00085,Finland,2025-10-13T04:03:40,,,,,,,,,,,,,
eva.devries317@gmail.com,Evde 91#2024,Eva,de Vries,+31 6 5916 2875,Vismarkt 236,Amsterdam,1012 94,Netherlands,2025-10-13T04:07:25,,,,,,,,,,,,,
urban.eagle_8470@yandex.com,JoBak38$2025,Johan,Bakker,+31 6 1528 6076,Kalverstraat 52,Amsterdam,1007 42,Netherlands,2025-10-13T04:30:28,,,,,,,,,,,,,
gizem.koc@gmail.com,GiKoc23!2024,Gizem,Koç,+90 531 941 71 45,Atatürk Blv 121,Istanbul,34606,Turkey,2025-10-13T04:40:22,,,,,,,,,,,,,
cem.aksoy@gmail.com,CeAks50#2025,Cem,Aksoy,+90 530 195 76 49,Nispetiye Cd 81,Istanbul,34104,Turkey,2025-10-13T04:44:10,,,,,,,,,,,,,
ali.sahin@novatek.ai,AlSah92!2025,Ali,Şahin,+90 530 304 16 20,Nispetiye Cd 27,Konya,42069,Turkey,2025-10-13T04:49:26,,,,,,,,,,,,,
mehmet.koc@gmail.com,MeKoc82@2024,Mehmet,Koç,+90 532 659 98 92,Cumhuriyet Cd 122,Istanbul,34809,Turkey,2025-10-13T05:13:38,Leo,Dog,Female,Golden Retriever,True,9.0,3.0,30.5,Ideal,Active,Dry food,Always hungry,Very important
sunnysparrow689@gmail.com,Invan99!2024,Inge,van der Meer,+31 6 7901 2221,Kalverstraat 207,Amsterdam,1044 09,Netherlands,2025-10-13T06:55:08,,,,,,,,,,,,,
femke.bakker666@gmail.com,FeBak72@2024,Femke,Bakker,+31 6 5785 4610,Damrak 109,Den Bosch,5212 99,Netherlands,2025-10-13T07:18:11,,,,,,,,,,,,,
whale813@msn.com,CaSah96@2025,Cansu,Şahin,+90 537 833 15 56,Bağdat Cd 107,Mersin,33633,Turkey,2025-10-13T07:31:36,,,,,,,,,,,,,
burak.yilmaz@outlook.com,BuYil23#2025,Burak,Yılmaz,+90 531 556 08 72,İnönü Cd 118,Istanbul,34169,Turkey,2025-10-13T08:56:04,,,,,,,,,,,,,
milan.bakker@gmail.com,MiBak12@2025,Milan,Bakker,+31 6 4559 4148,Coolsingel 39,Amsterdam,1044 33,Netherlands,2025-10-13T09:03:24,,,,,,,,,,,,,
yusuf.sahin@gmail.com,YuSah99#2025,Yusuf,Şahin,+90 536 343 09 55,Cumhuriyet Cd 66,Konya,42285,Turkey,2025-10-13T09:03:47,,,,,,,,,,,,,
noah.jansen@gmail.com,NoJan29#2024,Noah,Jansen,+31 6 7211 1196,Damrak 162,Amsterdam,1069 87,Netherlands,2025-10-13T09:05:08,,,,,,,,,,,,,
elif.koc@fastmail.com,ElKoc79!2025,Elif,Koç,+90 536 379 36 22,Halaskargazi Cd 103,Bursa,16381,Turkey,2025-10-13T09:08:32,,,,,,,,,,,,,
onur.demir327@gmail.com,OnDem39@2024,Onur,Demir,+90 532 224 36 38,Halaskargazi Cd 190,Bursa,16576,Turkey,2025-10-13T09:28:00,,,,,,,,,,,,,
onur.demir@gmail.com,OnDem99@2025,Onur,Demir,+90 531 109 31 43,Halaskargazi Cd 96,Istanbul,34833,Turkey,2025-10-13T10:52:32,,,,,,,,,,,,,
santeri.jarvinen323@gmail.com,SaJar59$2024,Santeri,Järvinen,+358 041 5812219,Aleksanterinkatu 85,Helsinki,00381,Finland,2025-10-13T11:29:50,,,,,,,,,,,,,
otter724@gmail.com,GiDog35@2024,Gizem,Doğan,+90 532 933 10 83,Turan Güneş Blv 165,Konya,42658,Turkey,2025-10-13T11:32:52,,,,,,,,,,,,,
cosmic.otter_4462@zoho.com,DeDem28$2025,Deniz,Demir,+90 538 569 65 28,Turan Güneş Blv 80,Adana,01376,Turkey,2025-10-13T11:46:18,,,,,,,,,,,,,
